Date,Open,High,Low,Close,Adj Close,Volume
2019-08-09,43.669998,43.814999,42.500000,42.580002,41.078651,4984245
2019-08-12,42.799999,43.084999,42.000000,42.349998,40.856758,3420509
2019-08-13,42.090000,43.759998,41.424999,42.849998,41.339127,7257254
2019-08-14,43.060001,43.099998,41.455002,41.535000,40.070496,4876603
2019-08-15,41.740002,41.834999,40.310001,40.529999,39.100929,5580354
2019-08-16,40.775002,41.345001,40.575001,41.244999,39.790718,4244996
2019-08-19,41.764999,41.970001,41.360001,41.970001,40.490158,3627988
2019-08-20,41.970001,42.095001,41.209999,41.334999,39.877544,2944870
2019-08-21,41.395000,42.150002,41.310001,41.955002,40.475689,2827484
2019-08-22,41.630001,42.715000,41.525002,42.020000,40.538395,2918822
2019-08-23,42.189999,42.485001,40.665001,40.720001,39.284233,5519515
2019-08-26,40.650002,41.535000,40.549999,41.330002,39.872726,2824579
2019-08-27,41.395000,42.044998,41.035000,41.540001,40.075321,3360895
2019-08-28,41.549999,41.785000,41.025002,41.705002,40.234501,2273515
2019-08-29,41.645000,42.125000,41.345001,41.985001,40.504627,2690644
2019-08-30,42.380001,43.139999,42.314999,42.705002,41.199242,4397214
2019-09-02,42.834999,43.009998,42.525002,42.599998,41.097942,1940405
2019-09-03,43.000000,43.275002,42.230000,43.025002,41.507961,3872281
2019-09-04,43.735001,44.080002,43.459999,43.970001,42.419640,3580205
2019-09-05,44.750000,45.595001,44.535000,45.349998,43.750977,5111795
2019-09-06,45.619999,45.744999,45.145000,45.404999,43.804039,3728352
2019-09-09,45.580002,46.514999,45.549999,46.450001,44.812195,3164522
2019-09-10,46.470001,47.349998,46.470001,46.849998,45.198090,4294808
2019-09-11,47.294998,47.625000,47.150002,47.180000,45.516457,3724033
2019-09-12,47.294998,48.279999,46.950001,47.759998,46.076004,4741171
2019-09-13,47.915001,48.715000,47.840000,48.540001,46.828503,4125372
2019-09-16,48.099998,48.544998,47.599998,48.049999,46.355778,3745676
2019-09-17,47.805000,47.919998,46.790001,47.220001,45.555046,3716486
2019-09-18,47.180000,47.619999,46.935001,47.360001,45.690109,2490979
2019-09-19,47.320000,47.779999,47.029999,47.424999,45.752815,3362886
2019-09-20,47.544998,47.924999,47.320000,47.345001,45.675636,9244811
2019-09-23,47.049999,47.099998,45.689999,46.240002,44.609600,4426046
2019-09-24,46.180000,46.415001,45.419998,45.465000,43.861923,3011814
2019-09-25,45.154999,45.634998,44.724998,45.400002,43.799217,3615228
2019-09-26,45.360001,45.700001,44.805000,44.865002,43.283081,3165752
2019-09-27,44.990002,45.560001,44.849998,45.380001,43.779922,2510282
2019-09-30,45.235001,45.695000,45.080002,45.619999,44.011459,2645812
2019-10-01,45.904999,46.195000,45.105000,45.165001,43.572502,3052936
2019-10-02,45.005001,45.205002,44.055000,44.055000,42.501640,3861553
2019-10-04,44.160000,44.404999,43.255001,43.810001,42.265282,4175948
2019-10-07,43.799999,43.974998,43.244999,43.805000,42.260456,2463736
2019-10-08,43.970001,44.139999,42.895000,43.555000,42.019272,4251101
2019-10-09,43.570000,44.764999,43.240002,44.400002,42.834476,4010063
2019-10-10,44.474998,45.590000,44.404999,45.540001,43.934280,4363980
2019-10-11,45.840000,47.150002,45.654999,47.060001,45.400688,5385569
2019-10-14,46.639999,47.169998,46.185001,47.064999,45.405510,2861001
2019-10-15,47.439999,48.410000,47.119999,48.049999,46.355778,4548062
2019-10-16,48.070000,48.950001,47.970001,48.799999,47.079334,5140466
2019-10-17,48.755001,49.715000,48.605000,49.125000,47.392876,5731545
2019-10-18,48.044998,49.075001,47.869999,48.424999,46.717556,6209272
2019-10-21,48.584999,49.529999,48.584999,49.200001,47.465233,4657948
2019-10-22,49.209999,49.965000,49.209999,49.645000,47.894539,5137082
2019-10-23,49.349998,50.529999,49.349998,50.419998,48.642212,4472535
2019-10-24,51.599998,53.650002,51.509998,52.060001,50.224388,9715731
2019-10-25,52.000000,53.410000,51.880001,52.880001,51.015476,5747489
2019-10-28,52.900002,54.119999,52.900002,53.549999,51.661850,5399808
2019-10-29,53.500000,53.970001,53.020000,53.450001,51.565376,4148735
2019-10-30,53.849998,54.330002,52.790001,53.099998,51.227718,6528312
2019-10-31,53.160000,53.160000,52.049999,52.410000,50.562046,5516736
2019-11-01,52.560001,53.029999,52.430000,52.700001,50.841824,3204103
2019-11-04,53.500000,54.500000,52.959999,53.150002,51.275955,7883543
2019-11-05,52.500000,53.380001,52.490002,53.320000,51.439960,5683761
2019-11-06,52.560001,52.880001,52.290001,52.610001,50.754997,4589694
2019-11-07,52.799999,54.000000,52.799999,53.790001,51.893391,5159460
2019-11-08,53.910000,53.990002,53.169998,53.450001,51.565376,4165520
2019-11-11,53.209999,53.750000,52.930000,53.430000,51.546082,3170858
2019-11-12,53.840000,54.189999,53.580002,53.919998,52.018803,3511982
2019-11-13,53.580002,53.849998,52.970001,53.540001,51.652206,4122044
2019-11-14,51.900002,52.299999,51.040001,51.139999,49.336826,10783817
2019-11-15,50.840000,51.660000,50.610001,50.680000,48.893047,7753567
2019-11-18,50.570000,50.970001,49.740002,50.230000,48.458912,6189499
2019-11-19,50.150002,50.880001,50.049999,50.160000,48.391380,4784904
2019-11-20,49.950001,50.459999,49.584999,50.099998,48.333496,3800381
2019-11-21,50.000000,52.139999,49.919998,51.029999,49.230705,6196717
2019-11-22,51.000000,52.209999,50.980000,52.029999,50.195446,5415268
2019-11-25,52.549999,53.230000,52.509998,52.750000,50.890060,4076534
2019-11-26,52.610001,52.970001,52.310001,52.520000,50.668171,3926905
2019-11-27,52.730000,53.209999,52.270000,52.430000,50.581341,3176517
2019-11-28,52.290001,52.290001,51.779999,51.959999,50.127914,1528011
2019-11-29,51.740002,51.860001,51.169998,51.200001,49.394711,3132036
2019-12-02,51.110001,51.389999,49.849998,49.855000,48.097134,4897652
2019-12-03,49.884998,50.150002,48.884998,49.244999,47.508644,4083165
2019-12-04,49.215000,49.900002,49.215000,49.599998,47.851124,3085897
2019-12-05,49.509998,49.869999,49.259998,49.259998,47.523113,2450427
2019-12-06,49.400002,49.500000,48.715000,49.455002,47.711243,3186143
2019-12-09,49.630001,49.744999,48.974998,49.055000,47.325344,1910236
2019-12-10,48.724998,48.935001,48.020000,48.755001,47.035923,3729883
2019-12-11,48.825001,49.639999,48.724998,49.494999,47.749828,2872925
2019-12-12,49.474998,50.230000,48.974998,49.919998,48.159843,3102639
2019-12-13,51.000000,51.689999,50.360001,50.630001,48.844810,5577452
2019-12-16,51.000000,51.000000,50.360001,50.860001,49.066700,2653175
2019-12-17,50.799999,51.160000,50.650002,51.049999,49.250000,3550082
2019-12-18,50.840000,51.090000,50.220001,50.310001,48.536095,2999800
2019-12-19,50.200001,50.340000,49.275002,49.910000,48.150196,3472279
2019-12-20,49.814999,50.099998,49.660000,49.970001,48.208080,8696791
2019-12-23,49.700001,49.825001,49.230000,49.785000,48.029602,2496274
2019-12-27,49.794998,50.180000,49.669998,49.840000,48.082664,1967115
2019-12-30,49.599998,49.750000,49.259998,49.369999,47.629234,1295834
2020-01-02,49.404999,50.310001,49.259998,49.974998,48.212902,2473330
2020-01-03,49.650002,49.730000,48.455002,49.070000,47.339813,3338853
2020-01-06,48.334999,48.805000,47.735001,48.805000,47.084160,2862373
2020-01-07,49.049999,49.544998,48.910000,49.195000,47.460407,2342715
2020-01-08,48.799999,49.494999,48.680000,49.470001,47.725712,2211675
2020-01-09,49.900002,50.150002,49.645000,49.680000,47.928307,2577150
2020-01-10,49.855000,49.904999,49.355000,49.430000,47.687122,2604016
2020-01-13,49.599998,49.599998,48.520000,48.895000,47.170986,2569939
2020-01-14,48.865002,49.169998,48.270000,48.455002,46.746502,3468827
2020-01-15,48.455002,48.459999,47.145000,47.240002,45.574341,4872219
2020-01-16,47.290001,47.450001,46.560001,46.875000,45.222210,3757510
2020-01-17,47.330002,47.509998,46.660000,46.689999,45.043732,3811872
2020-01-20,46.505001,46.785000,46.215000,46.564999,44.923138,2330565
2020-01-21,46.279999,46.775002,45.950001,46.400002,44.763958,2762020
2020-01-22,46.555000,47.610001,45.154999,45.415001,43.813690,7485527
2020-01-23,45.005001,45.404999,44.230000,44.430000,42.863419,4726687
2020-01-24,44.560001,44.705002,43.750000,43.939999,42.390694,4987245
2020-01-27,43.330002,43.430000,42.389999,42.575001,41.073826,5465565
2020-01-28,42.689999,43.480000,42.119999,43.285000,41.758789,5579986
2020-01-29,43.450001,43.730000,43.075001,43.415001,41.884209,3298378
2020-01-30,42.970001,43.384998,42.645000,42.790001,41.281246,3307883
2020-01-31,42.845001,42.959999,41.669998,41.805000,40.330975,5005050
2020-02-03,41.875000,41.985001,41.415001,41.619999,40.152496,4054101
2020-02-04,41.849998,42.560001,41.615002,42.349998,40.856758,3491052
2020-02-05,42.400002,44.055000,42.125000,44.055000,42.501640,6063103
2020-02-06,44.540001,44.880001,44.009998,44.075001,42.520935,3719477
2020-02-07,43.880001,43.880001,42.720001,42.884998,41.372894,4450968
2020-02-10,42.990002,43.564999,42.674999,43.044998,41.527252,3691433
2020-02-11,44.555000,44.764999,42.404999,42.634998,41.131706,7718339
2020-02-12,42.615002,44.139999,42.599998,43.994999,42.443756,4974951
2020-02-13,43.299999,43.730000,42.814999,43.244999,41.720200,4206386
2020-02-14,43.200001,44.014999,43.035000,43.064999,41.546547,3245409
2020-02-17,43.700001,44.230000,43.490002,43.674999,42.135040,2854134
2020-02-18,43.099998,43.215000,42.470001,42.470001,40.972527,4110778
2020-02-19,42.685001,42.849998,42.084999,42.770000,41.261951,3123095
2020-02-20,42.669998,44.310001,42.299999,43.744999,42.202572,5853497
2020-02-21,43.410000,43.930000,42.105000,42.595001,41.093121,6622320
2020-02-24,41.325001,41.435001,39.525002,39.724998,38.324314,10085506
2020-02-25,40.119999,40.215000,38.970001,39.500000,38.107246,6951787
2020-02-26,39.250000,40.285000,38.275002,40.185001,38.768097,8077171
2020-02-27,39.209999,39.615002,38.360001,38.840000,37.470520,7863903
2020-02-28,37.165001,37.820000,36.720001,37.540001,36.216358,12165532
2020-03-02,38.000000,38.215000,36.500000,37.130001,35.820812,7553806
2020-03-03,37.560001,38.160000,36.435001,36.669998,35.377029,8729324
2020-03-04,36.834999,37.700001,36.430000,37.630001,36.303185,6580665
2020-03-05,37.720001,37.779999,36.075001,36.195000,34.918781,6178110
2020-03-06,35.259998,35.660000,34.080002,34.860001,33.630852,10171393
2020-03-09,32.200001,32.215000,30.049999,30.174999,29.111042,15511448
2020-03-10,30.915001,32.855000,30.160000,30.674999,29.593412,12272648
2020-03-11,31.270000,32.349998,30.480000,30.924999,29.834599,8778860
2020-03-12,29.379999,29.645000,25.084999,25.094999,24.210161,20325309
2020-03-13,26.549999,29.110001,24.985001,25.650000,24.745592,20138585
2020-03-16,24.000000,24.344999,22.174999,22.920000,22.111851,14756845
2020-03-17,24.049999,24.900000,21.500000,24.350000,23.491430,13532232
2020-03-18,23.184999,23.865000,21.424999,22.080000,21.301470,10355050
2020-03-19,22.000000,23.115000,21.014999,21.840000,21.069931,11513284
2020-03-20,23.000000,23.930000,22.650000,22.674999,21.875488,16664193
2020-03-23,21.715000,23.495001,21.469999,23.004999,22.193853,12175342
2020-03-24,24.700001,29.280001,24.504999,29.280001,28.247601,13524808
2020-03-25,30.450001,31.900000,28.320000,29.764999,28.715500,15137434
2020-03-26,28.910000,29.584999,27.670000,29.584999,28.541845,11110944
2020-03-27,28.730000,29.139999,26.975000,27.200001,26.240942,8831768
2020-03-30,27.325001,27.775000,26.270000,27.205000,26.245764,6651606
2020-03-31,27.540001,28.775000,26.665001,27.520000,26.549658,7011200
2020-04-01,26.500000,26.610001,25.525000,25.525000,24.625000,6508728
2020-04-02,25.750000,26.590000,24.315001,25.174999,25.174999,8251815
2020-04-03,25.150000,25.350000,24.299999,24.520000,24.520000,5796331
2020-04-06,25.950001,27.344999,25.745001,27.344999,27.344999,6743071
2020-04-07,28.990000,29.775000,26.985001,28.139999,28.139999,8477627
2020-04-08,27.950001,28.620001,27.139999,28.125000,28.125000,5464092
2020-04-09,29.000000,29.860001,28.205000,29.840000,29.840000,8897579
2020-04-14,30.844999,30.924999,29.365000,29.400000,29.400000,5804223
2020-04-15,29.535000,29.535000,27.530001,27.620001,27.620001,6470209
2020-04-16,28.285000,28.815001,27.299999,27.690001,27.690001,5247381
2020-04-17,28.639999,29.629999,28.309999,29.040001,29.040001,8416127
2020-04-20,29.545000,29.584999,27.700001,28.674999,28.674999,6586043
2020-04-21,28.100000,28.105000,27.225000,27.430000,27.430000,5987075
2020-04-22,27.785000,27.910000,27.375000,27.850000,27.850000,4023227
2020-04-23,28.080000,29.055000,27.719999,28.735001,28.735001,4993835
2020-04-24,28.150000,28.735001,27.485001,27.559999,27.559999,5418286
2020-04-27,28.500000,29.320000,28.330000,29.320000,29.320000,4900488
2020-04-28,29.424999,30.980000,29.290001,30.410000,30.410000,7222843
2020-04-29,30.785000,32.470001,30.100000,32.439999,32.439999,7028901
2020-04-30,32.735001,33.439999,31.139999,31.535000,31.535000,8800381
2020-05-04,30.100000,30.309999,28.905001,29.639999,29.639999,7569506
2020-05-05,30.469999,31.260000,30.219999,30.745001,30.745001,6547996
2020-05-06,30.745001,30.805000,29.905001,29.905001,29.905001,4987472
2020-05-07,30.105000,30.665001,29.940001,30.094999,30.094999,4615329
2020-05-08,30.480000,31.655001,30.155001,31.655001,31.655001,4695447
2020-05-11,31.770000,32.090000,30.715000,30.959999,30.959999,4356388
2020-05-12,30.625000,31.305000,30.590000,30.594999,30.594999,3259007
2020-05-13,30.100000,30.155001,28.605000,28.620001,28.620001,5878910
2020-05-14,28.180000,28.370001,26.295000,27.615000,27.615000,9728360
2020-05-15,28.049999,28.745001,27.424999,28.004999,28.004999,5914827
2020-05-18,28.620001,31.235001,28.610001,31.180000,31.180000,7378357
2020-05-19,31.600000,31.875000,30.155001,31.004999,31.004999,6977508
2020-05-20,31.025000,32.230000,30.080000,32.009998,32.009998,6426407
2020-05-21,31.639999,32.259998,31.230000,31.445000,31.445000,4408959
2020-05-22,30.629999,32.275002,30.445000,31.340000,31.340000,5709082
2020-05-25,31.799999,31.875000,31.030001,31.875000,31.875000,3058860
2020-05-26,32.299999,32.750000,31.980000,32.660000,32.660000,4874937
2020-05-27,32.849998,35.955002,32.740002,35.549999,35.549999,11873401
2020-05-28,36.299999,36.435001,34.474998,35.049999,35.049999,6967828
2020-05-29,34.264999,34.490002,33.380001,33.380001,33.380001,12786666
2020-06-02,35.000000,36.779999,34.865002,35.959999,35.959999,10392644
2020-06-03,36.709999,37.990002,36.145000,37.935001,37.935001,8149469
2020-06-04,36.049999,37.500000,35.404999,37.000000,37.000000,8261154
2020-06-05,37.560001,39.895000,37.470001,39.825001,39.825001,10011690
2020-06-08,39.110001,41.490002,38.959999,40.105000,40.105000,7689524
